,security_name,industry_sector,id_isin,crncy,3mo_put_imp_vol
TD US Equity,Toronto-Dominion Bank/The,Financial,CA8911605092,USD,17.91138089334737
QCOM US Equity,QUALCOMM Inc,Technology,US7475251036,USD,37.69694765523673
CSX US Equity,CSX Corp,Industrial,US1264081035,USD,22.115026949178883
TSM US Equity,Taiwan Semiconductor Manufactu,Technology,US8740391003,USD,44.398862796897106
GOOGL US Equity,Alphabet Inc,Communications,US02079K3059,USD,27.673025763315472
ALV GY Equity,Allianz SE,Financial,DE0008404005,EUR,16.25088145921777
VB US Equity,Vanguard Small-Cap ETF,Funds,US9229087518,USD,19.22642202261986
DHR US Equity,Danaher Corp,"Consumer, Non-cyclical",US2358511028,USD,23.554558220651455
GS US Equity,Goldman Sachs Group Inc/The,Financial,US38141G1040,USD,22.500622733284715
9020 JT Equity,East Japan Railway Co,Industrial,JP3783600004,JPY,23.737147998806808
MLM US Equity,Martin Marietta Materials Inc,Industrial,US5732841060,USD,24.477855684500664
BLK US Equity,BlackRock Inc,Financial,US09247X1019,USD,19.118048321064084
BATS LN Equity,British American Tobacco PLC,"Consumer, Non-cyclical",GB0002875804,GBp,16.857859771270927
ADP US Equity,Automatic Data Processing Inc,"Consumer, Non-cyclical",US0530151036,USD,19.860503857332233
8306 JT Equity,Mitsubishi UFJ Financial Group,Financial,JP3902900004,JPY,26.57133728512857
7267 JP Equity,Honda Motor Co Ltd,"Consumer, Cyclical",JP3854600008,JPY,27.29593489381241
8001 JT Equity,ITOCHU Corp,"Consumer, Cyclical",JP3143600009,JPY,18.186661820514207
CLX US Equity,Clorox Co/The,"Consumer, Non-cyclical",US1890541097,USD,22.89451781194587
TMUS US Equity,T-Mobile US Inc,Communications,US8725901040,USD,20.999901627721556
FR FP Equity,Valeo SE,"Consumer, Cyclical",FR0013176526,EUR,39.94992617096094
HSBC US Equity,HSBC Holdings PLC,Financial,US4042804066,USD,19.402223293585187
8058 JT Equity,Mitsubishi Corp,"Consumer, Cyclical",JP3898400001,JPY,30.536324638111566
ASML NA Equity,ASML Holding NV,Technology,NL0010273215,EUR,33.53553175495024
MO UN Equity,Altria Group Inc,"Consumer, Non-cyclical",US02209S1033,USD,16.774331976241974
TTE FP Equity,TotalEnergies SE,Energy,FR0000120271,EUR,18.8947407812609
ACN US Equity,Accenture PLC,Technology,IE00B4BNMY34,USD,24.211936390898874
LIN US Equity,Linde PLC,Basic Materials,IE000S9YS762,USD,18.49834735164179
INTC US Equity,Intel Corp,Technology,US4581401001,USD,39.52174360975199
ABF LN Equity,Associated British Foods PLC,"Consumer, Cyclical",GB0006731235,GBp,18.314465142205567
AMD US Equity,Advanced Micro Devices Inc,Technology,US0079031078,USD,47.186292763991325
JPM US Equity,JPMorgan Chase & Co,Financial,US46625H1005,USD,19.953808597712634
GSK LN Equity,GSK PLC,"Consumer, Non-cyclical",GB00BN7SWP63,GBp,21.26035101827929
SCHD US Equity,Schwab US Dividend Equity ETF,Funds,US8085247976,USD,11.838004385283748
KMB US Equity,Kimberly-Clark Corp,"Consumer, Non-cyclical",US4943681035,USD,15.266147704516744
BNZL LN Equity,Bunzl PLC,"Consumer, Cyclical",GB00B0744B38,GBp,15.754914671430614
RTN US Equity,Raytheon Co,Industrial,US7551115071,USD,
VYM US Equity,Vanguard High Dividend Yield E,Funds,US9219464065,USD,12.288558791991063
RTX US Equity,RTX Corp,Industrial,US75513E1010,USD,20.72704209579467
8316 JT Equity,Sumitomo Mitsui Financial Grou,Financial,JP3890350006,JPY,
SPY US Equity,SPDR S&P 500 ETF Trust,Funds,US78462F1030,USD,12.904602695937575
MDLZ US Equity,Mondelez International Inc,"Consumer, Non-cyclical",US6092071058,USD,18.523754589806366
OSK US Equity,Oshkosh Corp,Industrial,US6882392011,USD,28.250196277335288
NVO US Equity,Novo Nordisk A/S,"Consumer, Non-cyclical",US6701002056,USD,31.237623832897153
FDX US Equity,FedEx Corp,Industrial,US31428X1063,USD,25.268381127623314
SBUX US Equity,Starbucks Corp,"Consumer, Cyclical",US8552441094,USD,31.20373873236008
BDX US Equity,Becton Dickinson & Co,"Consumer, Non-cyclical",US0758871091,USD,20.56806754475197
RSP US Equity,Invesco S&P 500 Equal Weight E,Funds,US46137V3574,USD,13.753698322588384
TSCO LN Equity,Tesco PLC,"Consumer, Non-cyclical",GB00BLGZ9862,GBp,16.003394788532788
UPS US Equity,United Parcel Service Inc,Industrial,US9113121068,USD,25.784921751628907
2914 JP Equity,Japan Tobacco Inc,"Consumer, Non-cyclical",JP3726800000,JPY,
GD US Equity,General Dynamics Corp,Industrial,US3695501086,USD,17.5722424193859
AVGO US Equity,Broadcom Inc,Technology,US11135F1012,USD,38.115553171017204
AI FP Equity,Air Liquide SA,Basic Materials,FR0000120073,EUR,17.298373399684326
COST US Equity,Costco Wholesale Corp,"Consumer, Cyclical",US22160K1051,USD,21.27043095721335
MMM US Equity,3M Co,Industrial,US88579Y1010,USD,25.382819639708877
QQQ US Equity,Invesco QQQ Trust Series 1,Funds,US46090E1038,USD,18.51709236153998
PEP US Equity,PepsiCo Inc,"Consumer, Non-cyclical",US7134481081,USD,15.621306280774224
ABB US Equity,ABB Ltd,Industrial,,USD,
CMG US Equity,Chipotle Mexican Grill Inc,"Consumer, Cyclical",US1696561059,USD,36.27515784409721
XOM US Equity,Exxon Mobil Corp,Energy,US30231G1022,USD,20.224733335861153
MET US Equity,MetLife Inc,Financial,US59156R1086,USD,18.65416170459539
DGE LN Equity,Diageo PLC,"Consumer, Non-cyclical",GB0002374006,GBp,20.108844709019504
LOW US Equity,Lowe's Cos Inc,"Consumer, Cyclical",US5486611073,USD,24.196998106191963
SPGI US Equity,S&P Global Inc,"Consumer, Non-cyclical",US78409V1044,USD,18.33900881086201
STZ US Equity,Constellation Brands Inc,"Consumer, Non-cyclical",US21036P1084,USD,18.84897823129721
BK US Equity,Bank of New York Mellon Corp/T,Financial,US0640581007,USD,17.881511066285867
TOL US Equity,Toll Brothers Inc,"Consumer, Cyclical",US8894781033,USD,34.352276517903455
BMY US Equity,Bristol-Myers Squibb Co,"Consumer, Non-cyclical",US1101221083,USD,29.324889100405628
AMZN US Equity,Amazon.com Inc,Communications,US0231351067,USD,32.425587378559094
PHM US Equity,PulteGroup Inc,"Consumer, Cyclical",US7458671010,USD,32.36912436328705
