,security_name,industry_sector,id_isin,crncy
MVOL LN Equity,iShares Edge MSCI World Minimu,Funds,IE00B8FHGS14,USD
MINV LN Equity,iShares Edge MSCI World Minimu,Funds,IE00B8FHGS14,GBp
IQQ0 GY Equity,iShares Edge MSCI World Minimu,Funds,IE00B8FHGS14,EUR
MVOL SW Equity,iShares Edge MSCI World Minimu,Funds,IE00B8FHGS14,CHF
MVOL IM Equity,iShares Edge MSCI World Minimu,Funds,IE00B8FHGS14,EUR
WMVG LN Equity,iShares Edge MSCI World Minimu,Funds,IE00BGPP8L80,GBP
XGSD GR Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,EUR
XGSD GY Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,EUR
XGSD IM Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,EUR
XGSD GS Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,EUR
XGSD LN Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,GBp
XGDD LN Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,USD
XGSD SW Equity,Xtrackers Stoxx Global Select,Funds,LU0292096186,CHF
EGMW LN Equity,iShares MSCI World ESG Enhance,Funds,IE00BHZPJ569,GBP
EDMW GY Equity,iShares MSCI World ESG Enhance,Funds,IE00BHZPJ569,EUR
EDMW SW Equity,iShares MSCI World ESG Enhance,Funds,IE00BHZPJ569,USD
EDMWX IX Equity,iShares MSCI World ESG Enhance,Funds,IE00BHZPJ569,GBP
EEWD LN Equity,iShares MSCI World ESG Enhance,Funds,IE00BG11HV38,USD
EMND GY Equity,iShares MSCI World ESG Enhance,Funds,IE00BG11HV38,EUR
EEWDX IX Equity,iShares MSCI World ESG Enhance,Funds,IE00BG11HV38,GBP
EEWG LN Equity,iShares MSCI World ESG Enhance,Funds,IE00BG11HV38,GBP
CRBN US Equity,iShares MSCI ACWI Low Carbon T,Funds,US46434V4648,USD
SDG US Equity,iShares MSCI Global Sustainabl,Funds,US46435G5320,USD
USMV US Equity,iShares MSCI USA Min Vol Facto,Funds,US46429B6974,USD
IVV US Equity,iShares Core S&P 500 ETF,Funds,US4642872000,USD
SPY US Equity,SPDR S&P 500 ETF Trust,Funds,US78462F1030,USD
SPY AU Equity,SPDR S&P 500 ETF Trust,Funds,AU000000SPY3,AUD
1557 JP Equity,SPDR S&P 500 ETF Trust,Funds,US78462F1030,JPY
LSPU LN Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786657,USD
6TVM GY Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786657,EUR
LSPX LN Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786657,GBp
LYSP5 SW Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786657,USD
LYPS GY Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786574,EUR
LYPS PW Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786574,PLN
SP5 FP Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786574,EUR
SPX IM Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0496786574,EUR
SP5H FP Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0959211243,EUR
SPXH IM Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0959211243,EUR
LYP2 GY Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0959211243,EUR
SPHC IM Equity,Amundi S&P 500 II UCITS ETF,Funds,LU0959211326,EUR
LYP7 GS Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1135865084,EUR
SP5C FP Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1135865084,EUR
SP5C LN Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1135865084,USD
SP5CN MM Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1135865084,MXN
SP5L LN Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1135865084,GBP
LYSPH SW Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1302703878,CHF
SP5G LN Equity,Amundi S&P 500 II UCITS ETF,Funds,LU1950341179,GBP
VUSA LN Equity,Vanguard S&P 500 UCITS ETF,Funds,IE00B3XXRP09,GBP
VUSD LN Equity,Vanguard S&P 500 UCITS ETF,Funds,IE00B3XXRP09,USD
DIA US Equity,SPDR Dow Jones Industrial Aver,Funds,US78467X1090,USD
DIA SP Equity,SPDR Dow Jones Industrial Aver,Funds,US78467X1090,USD
QQQ US Equity,Invesco QQQ Trust Series 1,Funds,US46090E1038,USD
EQQQ IM Equity,Invesco EQQQ Nasdaq-100 UCITS,Funds,IE0032077012,EUR
EQQQ SW Equity,Invesco EQQQ Nasdaq-100 UCITS,Funds,IE0032077012,USD
EQQQ LN Equity,Invesco EQQQ Nasdaq-100 UCITS,Funds,IE0032077012,GBp
